105
#
12 0
13 3.53223
14 0
21 0
22 4.41974
23 0
30 4
31 0
32 0
255 5.05842
256 0
257 0
243 6.10431
244 0
245 0
0 0
1 0
2 0
27 0
28 0.86225
29 0
210 0.898537
211 0
212 0
9 0
10 2.63937
11 0
6 0
7 6.2204
8 0
15 0
16 7.11257
17 0
102 1.69349
103 8
104 0
246 2.59827
247 8
248 0
18 0
19 5.32114
20 0
192 5.40173
193 8
194 0
261 4.47124
262 8
263 0
165 6.30651
166 8
167 0
174 7.15641
175 8
176 0
54 8
55 6.2204
56 0
63 8
64 7.11257
65 0
51 8
52 8
53 0
96 3.52876
97 8
98 0
258 0.843591
259 8
260 0
3 0
4 8
5 0
66 8
67 5.32114
68 0
69 8
70 4.41974
71 0
60 8
61 3.53223
62 0
57 8
58 2.63937
59 0
24 0
25 1.75024
26 0
99 2.94158
100 0
101 0
177 1.89569
178 0
179 0
72 8
73 1.75024
74 0
81 7.10146
82 0
83 0
48 8
49 0
50 0
75 8
76 0.86225
77 0
